annee,taux_de_ponctualite,taux_irregularite,temperature_moyenne,pluie_mm,vent_moyen,greve_year
2013,87.8301282051282,12.169871794871796,11.913766001024065,51.358333333333334,2.980318740399386,3.0
2014,88.6151935483871,11.384806451612903,13.27779911798226,59.513548387096776,2.8781163966106735,11.0
2015,88.29832051282051,11.701679487179486,13.14909178187404,42.208333333333336,2.99386968766001,0.0
2016,88.14416666666666,11.855833333333333,12.539165430725498,54.81666666666666,2.882261154369052,8.0
2017,87.88126282051283,12.118737179487178,13.038702636968766,61.59166666666666,2.867942981914061,0.0
2018,88.33865384615385,11.661346153846154,13.539521249359959,57.35,3.044169226830517,32.0
2019,89.86783216783218,10.132167832167832,13.915479681608714,52.72727272727273,3.0772496857980727,16.0
2020,90.63850427350427,9.361495726495727,14.28676883780332,58.75555555555556,3.250429695546492,4.0
2021,91.67735897435897,8.322641025641026,12.492018049155146,60.616666666666674,3.0607462877624165,0.0
2022,90.54650666666667,9.453493333333334,14.051662467997952,45.33133333333333,2.930143266769073,13.0
2023,90.77896153846154,9.22103846153846,13.919436123911929,61.583333333333336,3.2578456221198158,21.0
2024,91.8914358974359,8.108564102564102,13.227077926090718,75.09166666666667,2.9732088122605367,15.0
